<DOG001, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG002, Punch, Male, 4, labrador retriever, medium, No Description>
<DOG003, Alice, Female, 2, labrador retriever, medium, No Description>
<DOG004, Ang, Male, 1, labrador retriever, medium, No Description>
<DOG005, Alex, Male, 2, labrador retriever, medium, No Description>
<DOG006, Sasha, Female, 4, labrador retriever, medium, No Description>
<DOG007, Elizabeth, Female, 2, labrador retriever, medium, No Description>
<DOG008, Ein, Male, 1, labrador retriever, medium, No Description>
<DOG009, Fuji, Female, 3, labrador retriever, medium, No Description>
<DOG010, Lupin, Male, 7, labrador retriever, medium, No Description>
<DOG011, Snoopy, Male, 13, labrador retriever, medium, No Description>
<DOG012, Max, Male, 5, labrador retriever, medium, No Description>
<DOG013, Pavlov, Male, 6, labrador retriever, medium, No Description>
<DOG014, Marley, Female, 4, labrador retriever, medium, No Description>
<DOG015, Miki, Female, 2, labrador retriever, medium, No Description>
<DOG016, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG017, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG018, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG019, Alice, Female, 3, labrador retriever, medium, No Description>
<DOG020, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG021, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG022, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG023, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG024, Rex, Male, 3, labrador retriever, medium, No Description>
<DOG025, Rex, Male, 3, labrador retriever, medium, No Description>
